plan_id,crop_id,total_weightage,cmpl_total_weightage,primary_output,block_area,weight_score,yield_per_acre,stage_0_weight,cmpl_stage_0_weight,stage_1_weight,cmpl_stage_1_weight,stage_2_weight,cmpl_stage_2_weight,stage_3_weight,cmpl_stage_3_weight,stage_4_weight,cmpl_stage_4_weight,stage_5_weight,cmpl_stage_5_weight,stage_6_weight,cmpl_stage_6_weight,stage_7_weight,cmpl_stage_7_weight,stage_8_weight,cmpl_stage_8_weight,stage_9_weight,cmpl_stage_9_weight,seed_type,est_yld_per_acre,range_from,range_to
1600,351,134.25,111.75,24000,1,0.832402,24000,0,0,9.75,9.75,15,7.5,61.5,51.5,38,38,10,5,0,0,0,0,0,0,0,0,Variety,12140.59,8093.73,16187.45
3277,873,398.25,292.25,1660,1,0.733835,1660,0,0,11.25,6.25,15,12.5,98.5,72.5,199,156,74.5,45,0,0,0,0,0,0,0,0,Variety,27316.32,24281.18,30351.47
326,810,98.5,66.25,1536,1.4,0.672588,1097.142857,0,0,15,11.25,12.5,10,63.5,40,0,0,7.5,5,0,0,0,0,0,0,0,0,Variety,5058.58,4046.86,6070.29
3135,859,148.5,79.5,1418,2,0.535353,709,0,0,15,10,12.5,10,68.5,54.5,0,0,52.5,5,0,0,0,0,0,0,0,0,Variety,5058.58,4046.86,6070.29
3428,889,386.75,329.25,132,1.2,0.851325,110,0,0,16.25,11.25,10,7.5,112.5,108.5,188,162,60,40,0,0,0,0,0,0,0,0,Variety,11128.87,10117.16,12140.59
1415,125,124.75,84.75,15000,1,0.679358,15000,0,0,9.75,9.75,15,7.5,60.5,35,29.5,27.5,10,5,0,0,0,0,0,0,0,0,Variety,12140.59,8093.73,16187.45
1434,357,610,0,5,5,0,1,28.25,0,14.75,0,12.5,0,92,0,347.5,0,115,0,0,0,0,0,0,0,0,0,Hybrid,15175.74,14164.02,16187.45
2592,857,149.25,82.75,635,2,0.554438,317.5,0,0,13.75,8.75,12.5,10,80.5,59,42.5,5,0,0,0,0,0,0,0,0,0,0,Variety,1821.09,1618.75,2023.43
879,807,374.25,271.25,850,2.8,0.724782,303.5714286,0,0,21.25,11.25,10,7.5,108,71.5,147.5,96,87.5,85,0,0,0,0,0,0,0,0,Variety,15175.74,14164.02,16187.45
2785,835,345.25,206.5,7500,1,0.598117,7500,0,0,16.25,0,10,0,110,91,176.5,105.5,32.5,10,0,0,0,0,0,0,0,0,Variety,11128.87,10117.16,12140.59
726,817,501.75,356.25,1400,0.5,0.710014,2800,0,0,11.25,8.75,16.5,10,79,45,317.5,237.5,77.5,55,0,0,0,0,0,0,0,0,Variety,15175.74,14164.02,16187.45
2251,841,470.25,286.75,325.44,0.75,0.609782,433.92,0,0,11.25,6.25,15,12.5,101,99,248,154,95,15,0,0,0,0,0,0,0,0,Variety,27316.32,24281.18,30351.47
1169,209,190.25,149.75,22000,0.5,0.787122,44000,0,0,9.75,9.75,12.5,11,21.5,14,58.5,47.5,73,55,15,12.5,0,0,0,0,0,0,Variety,45527.21,40468.63,50585.78
1924,853,189.25,157.25,6785,1.25,0.830911,5428,0,0,13.75,8.75,10,7.5,41.5,29.5,72,62,52,49.5,0,0,0,0,0,0,0,0,Variety,9109.31,8097.16,10121.45
544,824,88.25,43.75,1102,1,0.49575,1102,0,0,16.25,8.75,7.5,7.5,57,27.5,0,0,7.5,0,0,0,0,0,0,0,0,0,Variety,2630.46,2428.12,2832.8
2992,801,323.25,294.25,10787,0.5,0.910286,21574,0,0,6.25,6.25,12.5,12.5,50,45,174.5,165.5,80,65,0,0,0,0,0,0,0,0,Variety,27316.32,24281.18,30351.47
